model,split,bootstrap_replicates,valid_replicates,degenerate_replicates,mean_ap_delta_vs_constant,ci2_5,ci97_5,race_count
gnn_seed_17,development_test,1000,1000,0,0.057817281157725095,0.037144448366258805,0.08665616787866008,5
gnn_seed_17,development_validation,1000,1000,0,0.08841953107132554,0.03545457913799374,0.1400907020694157,6
gnn_seed_23,development_test,1000,1000,0,0.046954879929465565,0.012733904150973686,0.09081371201539974,5
gnn_seed_23,development_validation,1000,1000,0,0.0686538671414306,0.022613682195613702,0.1180418048696422,6
gnn_seed_42,development_test,1000,1000,0,0.06259892357536347,0.03937784004509326,0.09385067579025975,5
gnn_seed_42,development_validation,1000,1000,0,0.0867953996271297,0.03045502808166886,0.13589985457140202,6
logistic_c1,development_test,1000,1000,0,0.03552842036531993,0.022179088527082592,0.07408486130963583,5
logistic_c1,development_validation,1000,1000,0,0.054216728745397895,0.03515268331479576,0.07643888377823516,6
