model,split,bootstrap_replicates,valid_replicates,degenerate_replicates,mean_ap_delta_vs_constant,ci2_5,ci97_5,race_count
gnn_seed_17,development_test,1000,1000,0,0.07037861261537211,0.04420879513658628,0.10173653275299038,5
gnn_seed_17,development_validation,1000,1000,0,0.08099488102092504,0.033033329138634035,0.11978495754301206,6
gnn_seed_23,development_test,1000,1000,0,0.05744911555143025,0.02066232727637711,0.09839214882893127,5
gnn_seed_23,development_validation,1000,1000,0,0.07095931489706303,0.025104061719365366,0.1203424874415902,6
gnn_seed_42,development_test,1000,1000,0,0.06544371470933293,0.028573295050017412,0.11300066480918733,5
gnn_seed_42,development_validation,1000,1000,0,0.08008416949052456,0.02707663896675064,0.1340890621648847,6
logistic_c1,development_test,1000,1000,0,0.03552842036531993,0.022179088527082592,0.07408486130963583,5
logistic_c1,development_validation,1000,1000,0,0.054216728745397895,0.03515268331479576,0.07643888377823516,6
