split,metric,bootstrap_replicates,mean,p02_5,p50,p97_5,degenerate_replicates
validation,baseline_ap,1997,0.04337750744377992,0.015612887596899225,0.04310344827586207,0.07259530791788855,3
validation,baseline_brier,2000,0.041987897334862655,0.015282221393168994,0.04178719309863323,0.07009884299319943,0
validation,baseline_roc_auc,1997,0.5,0.5,0.5,0.5,3
validation,candidate_ap,1997,0.07218603541823132,0.023990271279875245,0.06732142857142857,0.15559602090415742,3
validation,candidate_brier,2000,0.0452839146548334,0.018505994284305202,0.04496343744961331,0.07306186107181466,0
validation,candidate_roc_auc,1997,0.5157632769932139,0.251438643292683,0.5168195718654434,0.7474388586956521,3
validation,delta_ap,1997,0.028808527974451395,-0.0008256331600581307,0.02327263444520082,0.0938248134371491,3
validation,delta_brier,2000,0.0032960173199707405,0.00023204355703199486,0.0031097977232110614,0.007551066480257436,0
validation,delta_roc_auc,1997,0.015763276993214007,-0.248561356707317,0.01681957186544336,0.24743885869565208,3
validation,class_degenerate_replicates,2000,,,,,3
development_test,baseline_ap,1943,0.046894737063678096,0.009009009009009009,0.042105263157894736,0.11173611111111117,57
development_test,baseline_brier,2000,0.04414462481797856,0.000393230023513551,0.03959077873138196,0.10709766817271094,0
development_test,baseline_roc_auc,1943,0.5,0.5,0.5,0.5,57
development_test,candidate_ap,1943,0.2843114640615552,0.08333333333333333,0.2833333333333333,0.5,57
development_test,candidate_brier,2000,0.04238424152986963,0.011469931154285106,0.03931200482802914,0.0918835381027824,0
development_test,candidate_roc_auc,1943,0.8999574871329349,0.7775275667728497,0.908256880733945,0.97545,57
development_test,delta_ap,1943,0.23741672699787716,0.07166325922139875,0.23389012947836482,0.46101207477328165,57
development_test,delta_brier,2000,-0.0017603832881089288,-0.019724724010819237,-0.001390457008167395,0.01575146896437988,0
development_test,delta_roc_auc,1943,0.39995748713293494,0.2775275667728498,0.40825688073394495,0.47545000000000004,57
development_test,class_degenerate_replicates,2000,,,,,57
