window_id,event_id,link_type
873df749cad6f673aecd,62f0eed6df0162468264168a,TIMING_CANDIDATE_MATCH
29ed1a5893257ccbf1b5,672c91b9a2774c545f823aa2,TIMING_CANDIDATE_MATCH
1f0f604d46c4d86df925,d1c4c4f26116deb514c4c737,TIMING_CANDIDATE_MATCH
5f806678215e4b24ad03,f1f20bae6afd4a4b3b15473b,TIMING_CANDIDATE_MATCH
44cb2d1046262694a60f,da22bbfb944b3cf9cf805fe1,TIMING_CANDIDATE_MATCH
d8b468171dbaa1798917,8ed68f56ccc7e1b2682018b9,TIMING_CANDIDATE_MATCH
5bb4bbddc7294b31c84f,33a05916b57901d3603d7f03,TIMING_CANDIDATE_MATCH
13f1b0f565bad19a5467,d2ab2b31b1d96bfb3d556b63,TIMING_CANDIDATE_MATCH
ed9af8341525b3553443,925f36df559c97744059b2f9,TIMING_CANDIDATE_MATCH
156cecffa56359c51a49,c3781475dc4997a3541b4888,TIMING_CANDIDATE_MATCH
ea86eddef382d6ae10bf,248281cfa9222ee1ffff4f44,TIMING_CANDIDATE_MATCH
d4abad905db8e4a7e5f6,6f90375c71c8a8e2d26aeaf7,TIMING_CANDIDATE_MATCH
2a1a28eef371b045067d,bbac5b78b392998f2f9dabf9,TIMING_CANDIDATE_MATCH
c800d149b3e374bca641,bda879fbe51273d54badb30b,TIMING_CANDIDATE_MATCH
c6d4b697d85cdf982334,fd42aa18a65624ad63ae0f84,TIMING_CANDIDATE_MATCH
6908dc0cc0419392e729,2712d0988c7e7f72fcdf176f,TIMING_CANDIDATE_MATCH
87390b3bcd6d3c6495e2,3b5182ec7012bfea5721397e,TIMING_CANDIDATE_MATCH
cff42fa047b2b78fba2e,3f45c5e1c7b8f862d1aef1ab,TIMING_CANDIDATE_MATCH
0d40d92abd508f0ea91a,e69cc9cfdefb418a51d7a021,TIMING_CANDIDATE_MATCH
2b81ba81b294d18c3725,2fdae0da4f5ecb062285a025,TIMING_CANDIDATE_MATCH
d6d7331a6346c8bc89bd,aad7e78eaa884f2ed823ba64,TIMING_CANDIDATE_MATCH
5dbcfc2329aab2a36e6d,49364bff0c59d8f66d4b2d68,TIMING_CANDIDATE_MATCH
305fd7689cacf2cd1e17,2075d87851a367d15f8a8aa7,TIMING_CANDIDATE_MATCH
f6d81a24b50755967237,06d99db02d420434af4d307a,TIMING_CANDIDATE_MATCH
871cf85c1f3bdea12622,b6c3f1e12db05b04a6d46a89,TIMING_CANDIDATE_MATCH
52ee8349b1b7064a4692,6c27d8281fff1ae1ae142c3a,TIMING_CANDIDATE_MATCH
8234895dff9b1b8e02f6,7e2ac0077f5e81490f8eb099,TIMING_CANDIDATE_MATCH
1463e6e73f5ca1a04110,fce573f01e6cb238069719be,TIMING_CANDIDATE_MATCH
4c9b6279ed2064cb3ec5,20bc4aeba2ec88cbb95f7d47,TIMING_CANDIDATE_MATCH
2d39d7455f52aa320f39,25b98ab24514728e2b081e23,TIMING_CANDIDATE_MATCH
33b38cfc9752fff4d629,61429e14bf224eb2aa16262d,TIMING_CANDIDATE_MATCH
62249fb0285bfdf5873b,4c404e37e0b35d9be597b573,TIMING_CANDIDATE_MATCH
e22c945b90441d55f4e4,9fb21d4d591d18afdb21e13d,TIMING_CANDIDATE_MATCH
b0a15c0b492f1f46bb94,8d910fccf99c938b8450b09b,TIMING_CANDIDATE_MATCH
ea2d4449b78389ce6112,84e76ca9d8c20614ca0d04c9,TIMING_CANDIDATE_MATCH
d4911dd4df3937101ff0,0f549ff6a6fd85c4c3e5e1da,TIMING_CANDIDATE_MATCH
ff4c0905dc3522bdc1cd,1f160885f6970b9606b8dfe6,TIMING_CANDIDATE_MATCH
32165b372f9abd6f246b,02857bd101a45d60b0c15829,TIMING_CANDIDATE_MATCH
73bbb3e41b604f34db62,96b5af85ed729152f29e423b,TIMING_CANDIDATE_MATCH
100ce1cb570b91b3c1e0,0fe02b940cc7631b2f09c5a8,TIMING_CANDIDATE_MATCH
9c29633e070b88d8f034,31ee710ddaf8b8f3308a226b,TIMING_CANDIDATE_MATCH
1d6d5fa790eae2978f63,9dd1829f5410a49917d2f81a,TIMING_CANDIDATE_MATCH
d5e9aa5a88c3a3def318,d9148d0b92d38ec115be3779,TIMING_CANDIDATE_MATCH
3024253788af93764c89,10189f09c3b1f372a780ecc8,TIMING_CANDIDATE_MATCH
bcf229fdf59f50a6d6d3,1e3508794bbc47d7feee3a4c,TIMING_CANDIDATE_MATCH
1cd1f3d7731032f9abdf,255b365e6c6a931b9c52ca6b,TIMING_CANDIDATE_MATCH
8ab99bb48f2fd60be127,dfb26332a497bcebe8c88c13,TIMING_CANDIDATE_MATCH
644112b9ae9497d4889b,d4a5cd143f1a8c7458cd59c7,TIMING_CANDIDATE_MATCH
76d4912bf87b2e3f6019,481a64e84e08b7ef21fe6db3,TIMING_CANDIDATE_MATCH
c4dcb9899de94753fa53,a2a843ab37e60c00e5cfcc03,TIMING_CANDIDATE_MATCH
af4d9da05a9437819759,e44a7c069f89f8dc686fc64a,TIMING_CANDIDATE_MATCH
73401648a8c03ba9a453,706755dbef24a1560f5ba10f,TIMING_CANDIDATE_MATCH
871503b869a8a3846b49,e0d437a0373f404dde5425d3,TIMING_CANDIDATE_MATCH
32fb8e90f054f55c45ab,3cdbef60b4c5a3048f472990,TIMING_CANDIDATE_MATCH
5a1f38d7a099a57a9ed4,de1d8aac3166fdb330006a52,TIMING_CANDIDATE_MATCH
ef8db5c66e37fd448fa0,50644f3394badd65e1bde28d,TIMING_CANDIDATE_MATCH
8f74819de3507b1cf4a0,7112681a681de591028769df,TIMING_CANDIDATE_MATCH
e9e74755cd2567dc32f8,f8808ee75373ef45e962219a,TIMING_CANDIDATE_MATCH
cd64c8f1bf7d06f6aa80,20f140455f7754e6d0aaee40,TIMING_CANDIDATE_MATCH
65a8fe22f75d7aa273aa,410d3534c01defdd5c1a9869,TIMING_CANDIDATE_MATCH
78dd980f0ecd89f0bc9c,da503af2daeadf538105cc5d,TIMING_CANDIDATE_MATCH
3a0c78e0912fb8f10e35,f9fd3bf78ca560d5129b0d96,TIMING_CANDIDATE_MATCH
583a551ae5ea522f4918,56d1bdbc6980faa107759adf,TIMING_CANDIDATE_MATCH
3745198b9546795c207e,3152b648a9639c38192e3c15,TIMING_CANDIDATE_MATCH
43791de00925963884da,73115e31191342220c2e1184,TIMING_CANDIDATE_MATCH
