year,event,session,driver,lap,row_count,sample_index_min,sample_index_max,time_min_sec,time_max_sec,time_span_sec,distance_min,distance_max,distance_span,timestamp_repeats,timestamp_negative_steps,sample_index_repeats,sample_index_negative_steps,positive_dt_count,positive_dt_median_sec,positive_dt_p95_sec,positive_dt_max_sec,complete_physical_lap_supported
2018,Abu Dhabi Grand Prix,Race,ALO,10,797,0.0,796.0,0.0,107.209,107.209,0.2548722217628946,5495.405665429225,5495.150793207463,0,0,0,0,796,0.14000000000000035,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,BOT,10,778,0.0,777.0,0.0,104.981,104.981,0.12205116925474091,5493.290757593384,5493.16870642413,0,0,0,0,777,0.1390000000000029,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,ERI,5,819,0.0,818.0,0.0,108.535,108.535,0.31423112781586404,5495.555872359503,5495.241641231687,0,0,0,0,818,0.13599999999999568,0.240000000000002,0.3009999999999948,False
2018,Abu Dhabi Grand Prix,Race,GAS,8,981,0.0,980.0,0.0,130.115,130.115,0.10134187164107791,5499.339900491711,5499.23855862007,0,0,0,0,980,0.13049999999999784,0.23999999999999935,0.30099999999999927,False
2018,Abu Dhabi Grand Prix,Race,GRO,10,799,0.0,798.0,0.0,107.875,107.875,0.2185289071132048,5499.288707832942,5499.070178925829,0,0,0,0,798,0.14000000000000057,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,HAM,10,781,0.0,780.0,0.0,105.144,105.144,0.37467748670297796,5506.831941583504,5506.457264096801,0,0,0,0,780,0.1399999999999968,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,HAR,10,801,0.0,800.0,0.0,108.159,108.159,0.8973595846705089,5506.790203358359,5505.892843773689,0,0,0,0,800,0.14000000000000057,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,HUL,1,1016,0.0,1015.0,0.0,134.808,134.808,-0.03394334567727943,2818.985509705648,2819.0194530513254,0,0,0,0,1015,0.132000000000005,0.2400000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,LEC,10,791,0.0,790.0,0.0,106.556,106.556,0.3184995249288836,5479.736173024981,5479.417673500053,0,0,0,0,790,0.14000000000000057,0.240000000000002,0.29999999999999716,False
2018,Abu Dhabi Grand Prix,Race,MAG,10,804,0.0,803.0,0.0,108.25,108.25,0.016333485784799068,5491.128604236412,5491.1122707506265,0,0,0,0,803,0.14000000000000057,0.240000000000002,0.30000000000000426,False
